cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737225.5842,737225.5807,737225.5772,737225.5737,737225.5703,737225.5668,737225.5633,737225.5598,737225.5564,737225.5529,737225.5494,737225.546,737225.5425,737225.539,737225.5355,737225.5321,737225.5286,737225.5251,737225.5217,737225.5182,737225.5147,737225.5112,737225.5078,737225.5043,737225.5008,737225.4973,737225.4939,737225.4904,737225.4869,737225.4835,737225.48
737217.6278,737217.6243,737217.6208,737217.6174,737217.6139,737217.6104,737217.6069,737217.6035,737217.6,737217.5965,737217.5931,737217.5896,737217.5861,737217.5826,737217.5792,737217.5757,737217.5722,737217.5688,737217.5653,737217.5618,737217.5583,737217.5549,737217.5514,737217.5479,737217.5444,737217.541,737217.5375,737217.534,737217.5306,737217.5271,
737216.5513,737216.5478,737216.5444,737216.5409,737216.5374,737216.534,737216.5305,737216.527,737216.5235,737216.5201,737216.5166,737216.5131,737216.5097,737216.5062,737216.5027,737216.4992,737216.4958,737216.4923,737216.4888,737216.4853,737216.4819,737216.4784,737216.4749,737216.4715,737216.468,737216.4645,737216.461,737216.4576,737216.4541,737216.4506,
737215.5721,737215.5686,737215.5652,737215.5617,737215.5582,737215.5547,737215.5513,737215.5478,737215.5443,737215.5408,737215.5374,737215.5339,737215.5304,737215.527,737215.5235,737215.52,737215.5165,737215.5131,737215.5096,737215.5061,737215.5027,737215.4992,737215.4957,737215.4922,737215.4888,737215.4853,737215.4818,737215.4783,737215.4749,737215.4714,737215.4679
737201.5894,737201.5859,737201.5825,737201.579,737201.5755,737201.572,737201.5686,737201.5651,737201.5616,737201.5582,737201.5547,737201.5512,737201.5477,737201.5443,737201.5408,737201.5373,737201.5339,737201.5304,737201.5269,737201.5234,737201.52,737201.5165,737201.513,737201.5095,737201.5061,737201.5026,737201.4991,737201.4957,737201.4922,737201.4887,
737196.6074,737196.604,737196.6005,737196.597,737196.5935,737196.59,737196.5866,737196.5831,737196.5796,737196.5762,737196.5727,737196.5692,737196.5657,737196.5623,737196.5588,737196.5553,737196.5519,737196.5484,737196.5449,737196.5414,737196.538,737196.5345,737196.531,737196.5275,737196.5241,737196.5206,737196.5171,737196.5137,737196.5102,737196.5067,737196.5032
737140.5862,737140.5827,737140.5792,737140.5758,737140.5723,737140.5688,737140.5653,737140.5619,737140.5584,737140.5549,737140.5514,737140.548,737140.5445,737140.541,737140.5376,737140.5341,737140.5306,737140.5271,737140.5237,737140.5202,737140.5167,737140.5133,737140.5098,737140.5063,737140.5028,737140.4994,737140.4959,737140.4924,737140.4889,737140.4855,
737120.5722,737120.5688,737120.5653,737120.5618,737120.5584,737120.5549,737120.5514,737120.5479,737120.5445,737120.541,737120.5375,737120.5341,737120.5306,737120.5271,737120.5236,737120.5202,737120.5167,737120.5132,737120.5097,737120.5063,737120.5028,737120.4993,737120.4959,737120.4924,737120.4889,737120.4854,737120.482,737120.4785,737120.475,737120.4716,
737117.5721,737117.5686,737117.5651,737117.5617,737117.5582,737117.5547,737117.5512,737117.5478,737117.5443,737117.5408,737117.5373,737117.5339,737117.5304,737117.5269,737117.5235,737117.52,737117.5165,737117.513,737117.5096,737117.5061,737117.5026,737117.4992,737117.4957,737117.4922,737117.4887,737117.4853,737117.4818,737117.4783,737117.4748,737117.4714,737117.4679
737112.5762,737112.5727,737112.5693,737112.5658,737112.5623,737112.5588,737112.5554,737112.5519,737112.5484,737112.545,737112.5415,737112.538,737112.5345,737112.5311,737112.5276,737112.5241,737112.5206,737112.5171,737112.5137,737112.5102,737112.5067,737112.5033,737112.4998,737112.4963,737112.4928,737112.4894,737112.4859,737112.4824,737112.4789,737112.4755,
